pieces,part,value,mean
0,1,5.95,5.351666667
0,2,4.75,Nan
0,3,5.37,Nan
0,4,5.19,Nan
0,5,5.05,Nan
0,6,5.8,Nan
1,1,4.75,4.614
1,2,7.43,Over
1,3,4.39,Nan
1,4,4.46,Nan
1,5,4.43,Nan
1,6,5.04,Nan
2,1,3.9,3.51
2,2,3.54,Nan
2,3,3.3,Nan
2,4,3.1,Nan
2,5,3.71,Nan
2,6,4.73,Over
3,1,3.85,3.9775
3,2,3.95,Nan
3,3,4.03,Nan
3,4,0.19,Over
3,5,8.76,Over
3,6,4.08,Nan
4,1,0.39,3.123333333
4,2,17.95,Over
4,3,0.14,Over
4,4,3.08,Nan
4,5,2.97,Nan
4,6,3.32,Nan
5,1,4.01,3.34
5,2,3.42,Nan
5,3,3.33,Nan
5,4,2.9,Nan
5,5,2.91,Nan
5,6,3.47,Nan
10,1,3.11,3.21
10,2,3.29,Nan
10,3,3.28,Nan
10,4,3.64,Nan
10,5,2.85,Nan
10,6,3.09,Nan
15,1,2.78,2.733333333
15,2,2.74,Nan
15,3,3.04,Nan
15,4,2.15,Nan
15,5,2.6,Nan
15,6,3.09,Nan
20,1,4.73,2.7175
20,2,2.92,Nan
20,3,18.5,Over
20,4,2.86,Nan
20,5,2.53,Nan
20,6,2.56,Nan