,time,y_value,peak_num,time_gap,frequencies(HZ)
12,1.624888,1080,1,,
14,1.718994,904,1,0.0941059999999998,10.626315006482075
20,1.745419,870,1,0.026425000000000143,37.84295175023632
22,1.772833,892,1,0.02741400000000005,36.4777121178959
24,1.825809,1080,1,0.05297599999999991,18.87647236484449
26,1.853492,892,1,0.027682999999999902,36.123252537658615
30,1.884135,830,1,0.030642999999999976,32.63388049472965
32,1.91255,830,1,0.02841500000000008,35.192679922576005
37,2.01075,631,1,0.09819999999999984,10.183299389002054
39,2.04134,803,1,0.030590000000000117,32.690421706439885
41,2.067555,802,1,0.0262150000000001,38.14609956131971
46,2.147082,524,1,0.07952700000000013,12.574345819658712
48,2.174111,772,1,0.027028999999999748,36.99729919715895
50,2.201911,785,1,0.027800000000000047,35.971223021582674
55,2.30934,719,1,0.10742900000000022,9.308473503430154
57,2.335831,769,1,0.026491000000000042,37.74866935940502
63,2.440593,646,1,0.10476199999999958,9.545445867776522
65,2.467187,751,1,0.02659400000000023,37.602466721816626
67,2.49461,751,1,0.027423000000000197,36.465740436859306
69,2.520876,729,1,0.02626599999999968,38.07203228508384
71,2.5533,560,1,0.03242400000000023,30.841352084875183
73,2.582007,569,1,0.028706999999999816,34.83470930435108
75,2.609859,733,1,0.02785200000000021,35.904064340083025
77,2.636427,733,1,0.026567999999999703,37.63926528154212
79,2.665345,734,1,0.028918,34.58053807317242
81,2.692585,617,1,0.02723999999999993,36.710719530102885
83,2.71848,502,1,0.025895000000000223,38.61749372465694
85,2.74564,697,1,0.02715999999999985,36.818851251841146
91,2.853499,480,1,0.10785899999999993,9.27136353943575
93,2.879863,650,1,0.026364000000000054,37.93051130329229
100,3.008914,598,1,0.12905100000000003,7.748874475982362
102,3.034797,697,1,0.025883000000000322,38.63539775141937
104,3.0616,696,1,0.026802999999999688,37.30925642651985
107,3.115045,572,1,0.053444999999999965,18.710824211806543
110,3.167078,680,1,0.05203300000000022,19.218572828781653
112,3.193897,687,1,0.02681900000000015,37.2869980237889
114,3.220692,687,1,0.026794999999999902,37.32039559619346
116,3.246987,607,1,0.026294999999999735,38.03004373455068
118,3.273286,509,1,0.026299000000000294,38.02425947754625
120,3.299501,656,1,0.026214999999999655,38.146099561320355
123,3.35303,680,1,0.05352900000000016,18.68146238487543
127,3.431478,622,1,0.07844799999999985,12.747297572914567
130,3.483871,671,1,0.052393000000000356,19.08651919149492
135,3.586636,663,1,0.10276499999999977,9.73093952221089
137,3.613569,661,1,0.026933000000000096,37.12917239074728
140,3.666667,568,1,0.05309799999999987,18.833101058420326
142,3.719799,651,1,0.05313200000000018,18.821049461717923
145,3.77331,656,1,0.053510999999999864,18.687746444656288
147,3.799009,593,1,0.025698999999999916,38.91201992295433
150,3.851904,631,1,0.05289500000000036,18.90537858020594
153,3.905092,652,1,0.05318799999999957,18.80123336090863
157,3.985998,607,1,0.08090600000000014,12.360022742441824
160,4.03771,645,1,0.05171199999999976,19.337871287128802
165,4.143323,639,1,0.10561299999999996,9.46853133610446
167,4.170072,639,1,0.026749000000000578,37.384575124302906
169,4.196469,634,1,0.026396999999999338,37.88309277569516
171,4.223022,559,1,0.026553000000000715,37.66052800060155
173,4.275208,632,1,0.052185999999999844,19.162227417315044
176,4.330115,635,1,0.05490700000000004,18.212614056495514
178,4.35728,579,1,0.027165000000000106,36.81207436039006
181,4.410279,619,1,0.052998999999999796,18.868280533595048
184,4.464288,632,1,0.05400899999999975,18.51543261308309
188,4.543483,602,1,0.07919500000000035,12.627059789128046
196,4.701446,623,1,0.15796299999999963,6.330596405487376
198,4.728084,623,1,0.02663800000000016,37.540355882573536
203,4.834064,618,1,0.10597999999999974,9.435742592942088
206,4.886209,619,1,0.05214500000000033,19.177294083804654
209,4.965874,610,1,0.07966500000000032,12.552563861168593
215,5.095984,599,1,0.13010999999999928,7.68580431942207
227,5.387809,608,1,0.2918250000000002,3.4267112139124447
269,6.519856,591,1,1.132047,0.8833555497254089
273,6.625015,589,1,0.10515900000000045,9.509409560760332
278,6.755342,586,1,0.13032699999999942,7.673007128223657
281,6.809209,587,1,0.05386700000000033,18.56424155791104
301,7.310911,582,1,0.5017019999999999,1.9932150958138501
304,7.362695,580,1,0.051784000000000496,19.310984087748928
307,7.442637,580,1,0.07994199999999996,12.50906907507944
310,7.495269,580,1,0.05263200000000001,18.999848001215987
331,8.00193,576,1,0.5066609999999994,1.9737062848729254
339,8.186874,575,1,0.18494399999999978,5.407042131672297
358,8.683923,571,1,0.4970490000000005,2.0118740808250273
363,8.842905,570,1,0.15898199999999996,6.290020253865219
365,8.868721,570,1,0.025816000000000727,38.735667802911834
381,9.29045,1080,1,0.42172899999999913,2.3711909780925713
384,9.343788,596,1,0.05333800000000011,18.748359518542088
387,9.370782,1080,1,0.026994000000000185,37.045269319107696
389,9.39871,1080,1,0.027927999999999287,35.806359209396504
394,9.453356,1068,1,0.05464599999999997,18.299601068696713
396,9.481472,629,1,0.028116000000000696,35.5669369753868
399,9.53605,979,1,0.05457799999999935,18.32240096742299
401,9.562154,1005,1,0.026104000000000127,38.30830524057597
403,9.589762,1003,1,0.027608000000000743,36.22138510576547
406,9.670192,340,1,0.08042999999999978,12.433171702101241
408,9.696745,950,1,0.026552999999999827,37.66052800060282
413,9.750975,854,1,0.054230000000000445,18.439977872026404
417,9.804484,432,1,0.05350900000000003,18.68844493449699
419,9.8326,903,1,0.02811599999999892,35.56693697538905
422,9.886793,902,1,0.05419300000000149,18.45256767479144
424,9.967152,816,1,0.08035899999999963,12.444156846152946
432,10.103242,683,1,0.13608999999999938,7.348078477478173
434,10.131332,839,1,0.028090000000000614,35.59985760056882
436,10.157717,839,1,0.026384999999999437,37.90032215273911
438,10.185124,814,1,0.02740700000000018,36.48702886123959
440,10.212273,592,1,0.027148999999999646,36.83376919960268
442,10.238433,547,1,0.02616000000000085,38.22629969418836
444,10.264513,801,1,0.026080000000000325,38.343558282208114
446,10.291466,811,1,0.026952999999998895,37.101621340854116
449,10.317953,811,1,0.026486999999999483,37.754370068336144
451,10.344103,674,1,0.026150000000001228,38.24091778202497
455,10.398054,725,1,0.05395099999999964,18.535337621174893
458,10.452249,787,1,0.05419499999999999,18.45188670541563
461,10.505362,510,1,0.053112999999999744,18.827782275525855
463,10.532601,637,1,0.02723899999999979,36.712067256507495
465,10.558714,763,1,0.026113000000000497,38.295102056446254
467,10.585583,763,1,0.026868999999999588,37.21761137370261
469,10.612548,751,1,0.026965000000000572,37.08511032820244
471,10.639519,587,1,0.026970999999999634,37.076860331467635
473,10.664975,547,1,0.025456000000000145,39.28346951602743
475,10.691232,735,1,0.02625699999999931,38.08508207335287
477,10.716576,744,1,0.025344000000000477,39.45707070706997
479,10.741962,744,1,0.025385999999999243,39.39179075080871
481,10.768263,642,1,0.02630100000000013,38.02136800882077
483,10.819919,689,1,0.051656000000001256,19.35883537246352
485,10.846468,728,1,0.026548999999999268,37.666202116841596
490,10.953416,630,1,0.10694800000000093,9.350338482252976
492,10.979372,714,1,0.02595599999999898,38.52673755586528
494,11.005155,714,1,0.025783000000000555,38.78524609238562
496,11.032667,700,1,0.02751199999999976,36.34777551613873
498,11.059105,565,1,0.026438000000000628,37.82434374763508
501,11.112667,696,1,0.05356199999999944,18.669952578320647
503,11.138949,700,1,0.02628200000000014,38.048854729472446
505,11.164711,700,1,0.025762000000000285,38.81686204487186
507,11.192317,609,1,0.027605999999998687,36.224009273348095
509,11.220113,513,1,0.027796000000000376,35.97639948193936
511,11.246763,665,1,0.026650000000000063,37.52345215759841
514,11.301534,690,1,0.05477100000000057,18.257837176607868
518,11.381633,626,1,0.08009900000000059,12.484550368918372
526,11.541128,668,1,0.15949499999999972,6.2697890215994345
528,11.593547,666,1,0.05241899999999866,19.077052213892397
530,11.618997,579,1,0.025450000000001083,39.29273084479204
533,11.672135,652,1,0.053138000000000574,18.81892431028622
536,11.724196,661,1,0.05206099999999836,19.208236491808293
539,11.804414,627,1,0.08021800000000034,12.466030068064471
542,11.859768,661,1,0.055354000000001236,18.06554178559775
546,11.940646,599,1,0.08087799999999845,12.364301787878276
548,11.966887,648,1,0.026241000000000625,38.10830379939698
550,11.993352,648,1,0.02646499999999996,37.7857547704516
555,12.099664,641,1,0.10631200000000085,9.40627586725856
558,12.153538,641,1,0.053873999999998645,18.561829453911443
560,12.179854,579,1,0.02631600000000134,37.99969600243005
562,12.231928,628,1,0.05207399999999929,19.203441256673457
565,12.285724,638,1,0.05379600000000018,18.588742657446588
568,12.365704,610,1,0.07997999999999905,12.50312578144551
571,12.418877,636,1,0.053173000000001025,18.806537152313783
576,12.526165,628,1,0.1072880000000005,9.320706882409919
578,12.553168,628,1,0.027002999999998778,37.03292226789784
583,12.661033,622,1,0.10786500000000032,9.270847819033023
586,12.713134,623,1,0.0521010000000004,19.193489568338272
589,12.792564,613,1,0.07943000000000033,12.589701624071457
596,12.976689,617,1,0.18412499999999987,5.431093007467757
606,13.212522,610,1,0.23583299999999952,4.240288678853265
608,13.265175,609,1,0.052652999999999395,18.992270146050775
613,13.396706,608,1,0.13153100000000073,7.602770449551774
647,14.326691,592,1,0.9299850000000003,1.0752861605294706
653,14.486198,589,1,0.15950699999999962,6.269317334035512
655,14.512173,590,1,0.025975000000000747,38.49855630413749
663,14.747523,587,1,0.23534999999999862,4.248990864669666
671,14.933585,582,1,0.1860620000000015,5.374552568498629
679,15.172875,582,1,0.23928999999999867,4.1790296293200955
681,15.199328,874,1,0.02645300000000006,37.80289570181068
687,15.280581,1080,1,0.08125300000000024,12.307237886601074
690,15.362065,513,1,0.08148399999999967,12.272347945609004
692,15.388895,952,1,0.026830000000000354,37.27171077152392
694,15.416933,951,1,0.02803800000000045,35.665882017261715
698,15.497916,391,1,0.0809829999999998,12.34827062469904
700,15.525936,882,1,0.028019999999999712,35.68879371877267
702,15.554003,904,1,0.028067000000000064,35.629030534079085
707,15.664016,762,1,0.11001300000000036,9.08983483770097
710,15.691527,866,1,0.027511000000000507,36.34909672494572
712,15.719185,865,1,0.02765799999999885,36.15590425916702
715,15.746597,806,1,0.027411999999999992,36.48037355902525
719,15.801025,617,1,0.0544279999999997,18.372896303373366
721,15.827765,835,1,0.026740000000000208,37.397157816005695
723,15.882767,828,1,0.055001999999999995,18.18115704883459
727,15.938371,491,1,0.05560400000000065,17.9843176749872
729,15.965166,782,1,0.026794999999999902,37.32039559619346
736,16.073952,469,1,0.1087859999999985,9.192359310940873
738,16.100637,687,1,0.026685000000000514,37.47423646243136
740,16.127965,786,1,0.027328000000000685,36.59250585480002
742,16.153808,786,1,0.025843000000001837,38.69519792593464
744,16.180262,755,1,0.026453999999997535,37.80146669691136
746,16.206504,555,1,0.026241999999999877,38.10685161192
748,16.232419,589,1,0.025915000000001243,38.587690526720124
750,16.259747,762,1,0.027328000000000685,36.59250585480002
752,16.287224,677,1,0.02747699999999753,36.39407504458601
755,16.314508,762,1,0.02728400000000164,36.65151737281703
757,16.340465,625,1,0.02595699999999823,38.525253303543096
759,16.367829,504,1,0.027364000000002164,36.544364858935865
761,16.394261,717,1,0.02643199999999979,37.83292978208263
767,16.500454,487,1,0.10619300000000109,9.416816550996673
769,16.527377,658,1,0.02692300000000003,37.14296326560929
774,16.606808,702,1,0.07943099999999959,12.589543125480041
778,16.689018,712,1,0.0822099999999999,12.163970319912435
780,16.742533,709,1,0.05351500000000087,18.686349621601117
782,16.769761,600,1,0.027227999999997365,36.72689878067052
784,16.796338,535,1,0.02657699999999963,37.626519170712044
786,16.823314,686,1,0.02697600000000122,37.06998813760212
789,16.876284,701,1,0.05296999999999841,18.878610534265245
793,16.956649,648,1,0.08036500000000046,12.443227773284319
796,17.009214,690,1,0.052565000000001305,19.02406544278465
801,17.114817,679,1,0.10560299999999856,9.469427951857558
803,17.141585,678,1,0.02676800000000057,37.35803945008887
805,17.168369,673,1,0.026783999999999253,37.33572281959483
807,17.194898,571,1,0.026529000000000025,37.69459836405439
809,17.247975,665,1,0.05307700000000182,18.84055240499587
814,17.327828,605,1,0.07985299999999995,12.523011032772727
816,17.35497,520,1,0.02714200000000133,36.84326873480035
818,17.381489,640,1,0.02651899999999685,37.708812549497296
821,17.434682,667,1,0.05319300000000027,18.799466095162803
825,17.514813,609,1,0.0801310000000015,12.479564712782583
833,17.673536,647,1,0.1587229999999984,6.300284142814904
835,17.725946,646,1,0.052410000000001844,19.080328181644052
837,17.752595,578,1,0.026648999999999035,37.52486021989704
839,17.80453,635,1,0.051935000000000286,19.254837777991614
845,17.911267,523,1,0.10673699999999897,9.368822432708523
847,17.937114,615,1,0.025847000000002396,38.68920957944471
861,18.222877,627,1,0.2857629999999993,3.499403351728539
864,18.27493,627,1,0.05205300000000079,19.211188596238156
866,18.30145,574,1,0.02651999999999788,37.70739064857013
868,18.354414,617,1,0.052963999999999345,18.880749188128018
881,18.64661,617,1,0.29219600000000057,3.422360333474784
887,18.779839,613,1,0.13322900000000004,7.505873345893159
889,18.835275,614,1,0.05543600000000026,18.03881953964924
894,18.968869,612,1,0.1335940000000022,7.4853661092562795
908,19.339947,603,1,0.37107799999999713,2.6948512172643158
914,19.52472,602,1,0.18477299999999985,5.412046132281236
931,19.947896,593,1,0.42317600000000155,2.363082972569324
936,20.081409,593,1,0.13351300000000066,7.489907349846045
952,20.503316,586,1,0.4219070000000009,2.3701905870250974
955,20.582358,586,1,0.07904199999999761,12.651501733256119
958,20.63406,586,1,0.05170200000000236,19.341611543072887
976,21.057967,579,1,0.4239069999999998,2.359007989960063
979,21.138655,582,1,0.08068799999999854,12.393416617093225
981,21.218944,1080,1,0.0802890000000005,12.4550062897781
983,21.245238,1080,1,0.02629400000000004,38.031490073781036
986,21.272603,1080,1,0.02736499999999964,36.54302941713916
988,21.298488,581,1,0.025884999999998826,38.63241259416826
990,21.325283,581,1,0.026794999999999902,37.32039559619346
992,21.325283,374,1,0.0,inf
994,21.352909,1080,1,0.027626000000001483,36.19778469557469
1002,21.463636,747,1,0.11072700000000069,9.031220930757573
1007,21.544879,988,1,0.08124300000000062,12.308752754083335
1009,21.572326,987,1,0.027446999999998667,36.433854337452125
1013,21.65376,424,1,0.08143399999999801,12.279883095513231
1015,21.681299,934,1,0.02753900000000087,36.31213914811607
1017,21.708291,933,1,0.026991999999999905,37.048014226437594
1021,21.790349,459,1,0.08205799999999996,12.186502230129914
1023,21.816771,858,1,0.026422000000000168,37.84724850503344
1025,21.843626,893,1,0.026855000000001183,37.23701359150832
1027,21.871458,892,1,0.02783200000000008,35.92986490370786
1033,21.952421,602,1,0.08096300000000056,12.35132097377806
1035,21.979003,859,1,0.026581999999997663,37.61944172748807
1038,22.032862,819,1,0.053859000000002766,18.5669990159481
1042,22.087243,582,1,0.054380999999999347,18.388775491440246
1044,22.113671,825,1,0.02642799999999923,37.83865597094101
1046,22.140262,817,1,0.02659099999999981,37.606709036892454
1048,22.167208,827,1,0.026945999999998804,37.11125955615098
1054,22.247781,757,1,0.08057300000000112,12.411105457162897
1057,22.302114,803,1,0.05433299999999974,18.405020889698797
1062,22.381389,654,1,0.0792749999999991,12.614317250078983
1064,22.407852,778,1,0.02646299999999968,37.7886105127919
1066,22.433727,778,1,0.025875000000002757,38.64734299516496
1069,22.461212,760,1,0.02748499999999865,36.38348189921954
1073,22.51678,559,1,0.05556800000000095,17.995968902965426
1075,22.544133,748,1,0.027352999999997962,36.55906116331205
1077,22.570991,756,1,0.026858000000000715,37.2328542706074
1079,22.597379,756,1,0.026388000000000744,37.89601333939563
1081,22.623191,647,1,0.025811999999998392,38.74167054083613
1084,22.67585,698,1,0.05265900000000201,18.99010615469268
1087,22.728345,738,1,0.0524950000000004,19.049433279359793
1090,22.78302,510,1,0.054674999999999585,18.28989483310485
1092,22.810736,635,1,0.027715999999998076,36.08024245923183
1094,22.836605,722,1,0.025869000000000142,38.656306776450364
1096,22.862922,722,1,0.026317000000002366,37.99825208040088
1098,22.890563,708,1,0.02764099999999914,36.17814116710796
1100,22.916973,567,1,0.02640999999999849,37.86444528587872
1103,22.971171,705,1,0.054197999999999524,18.45086534558487
1105,22.998257,707,1,0.02708600000000061,36.919441778039484
1107,23.025013,708,1,0.026756000000002444,37.37479443862717
1109,23.051742,615,1,0.02672899999999956,37.412548168656386
1111,23.079402,516,1,0.027660000000000906,36.15328994938421
1113,23.105715,672,1,0.026312999999998254,38.00402842701578
1116,23.160333,699,1,0.05461800000000139,18.30898238675848
1120,23.239545,629,1,0.07921199999999828,12.624349845983206
1128,23.399859,674,1,0.16031399999999962,6.237758399141699
1131,23.452578,673,1,0.05271899999999974,18.96849333257469
1133,23.478752,590,1,0.02617400000000103,38.20585313669904
1136,23.531433,654,1,0.052680999999999756,18.98217573698306
1143,23.663796,627,1,0.13236300000000156,7.554981376970817
1146,23.722367,661,1,0.05857099999999704,17.073295658261777
1151,23.829609,652,1,0.10724200000000295,9.32470487309051
1153,23.855818,651,1,0.02620899999999793,38.154832309515015
1156,23.909656,565,1,0.05383799999999894,18.57424124224562
1158,23.962949,642,1,0.053293000000000035,18.76419041900436
1161,24.016351,646,1,0.05340200000000195,18.725890416088603
1163,24.043534,589,1,0.027183000000000845,36.787698193722875
1166,24.096339,628,1,0.052804999999999325,18.93760060600346
1169,24.149689,648,1,0.05334999999999823,18.74414245548328
1173,24.229623,605,1,0.0799340000000015,12.510321014837006
1176,24.281548,636,1,0.051925000000000665,19.25854597977828
1181,24.387134,631,1,0.10558599999999885,9.470952588411446
1183,24.413086,630,1,0.025952000000000197,38.53267570900094
1186,24.467083,568,1,0.05399699999999896,18.519547382262335
1188,24.519991,623,1,0.052908000000002176,18.900733348453144
1194,24.652812,610,1,0.13282099999999986,7.528929913191447
1197,24.707064,623,1,0.05425199999999819,18.432500184325615
1203,24.84158,620,1,0.1345160000000014,7.434059888786386
1207,24.946696,615,1,0.10511599999999888,9.51329959283088
1235,25.692288,602,1,0.745592000000002,1.3412161074689606
1254,26.205282,593,1,0.5129939999999991,1.9493405380959656
1257,26.258385,594,1,0.05310300000000012,18.831327796922917
